time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2
2226.0,36545950000.0,119121810000.0,72429920.0,19835689000.0,30885878000.0,10798702000.0
2227.0,36294810000.0,116569940000.0,70384780.0,19495887000.0,30694365000.0,10714351000.0
2228.0,35856794000.0,115069490000.0,67635620.0,19528378000.0,30752997000.0,10559415000.0
2229.0,35803374000.0,114124160000.0,70244400.0,19714564000.0,30226575000.0,10479113000.0
2230.0,35577520000.0,113430770000.0,69746520.0,19467735000.0,29987783000.0,10441614000.0
2231.0,35189740000.0,111594540000.0,68873620.0,19302466000.0,28984480000.0,10276556000.0
2232.0,35551920000.0,113226990000.0,69557570.0,18906968000.0,29639600000.0,10245073000.0
2233.0,35453354000.0,111952910000.0,65060440.0,18494915000.0,28905183000.0,10015672000.0
2234.0,35185394000.0,117915630000.0,64878110.0,18280722000.0,27764685000.0,9865440000.0
2235.0,35306275000.0,116946390000.0,63337348.0,18185366000.0,27074497000.0,9941509000.0
2236.0,35108190000.0,114621890000.0,59769156.0,18060140000.0,26676484000.0,10050092000.0
2237.0,34828330000.0,119376495000.0,59187024.0,17903708000.0,27200498000.0,9970912000.0
2238.0,34750910000.0,117923850000.0,57757350.0,17527136000.0,26521962000.0,9977495000.0
2239.0,34871860000.0,118021040000.0,57804240.0,17087302000.0,26037189000.0,9886366000.0
2240.0,35128386000.0,115603160000.0,56593788.0,16901801000.0,25870864000.0,9918981000.0
2241.0,34670010000.0,114121090000.0,56669210.0,16874701000.0,25673521000.0,10326427000.0
2242.0,34959340000.0,116750710000.0,55498892.0,17000373000.0,25820103000.0,10544370000.0
2243.0,34851578000.0,115108880000.0,53559744.0,16984945000.0,25166914000.0,10467627000.0
2244.0,34569190000.0,119435250000.0,52230524.0,16826242000.0,25802346000.0,10214630000.0
2245.0,34052383000.0,119227380000.0,50580660.0,16881152000.0,26104869000.0,10382050000.0
2246.0,33969816000.0,121038810000.0,47880284.0,16724215000.0,26055846000.0,10472868000.0
2247.0,33699154000.0,119902110000.0,45190270.0,16438067000.0,25603613000.0,10117333000.0
2248.0,33907190000.0,116906560000.0,42157184.0,16032098000.0,25785395000.0,9978795000.0
2249.0,33507418000.0,115209770000.0,41852440.0,15579436000.0,25287053000.0,10245421000.0
2250.0,33369424000.0,112744690000.0,38591860.0,15592091000.0,25459340000.0,10122672000.0
2251.0,32619827000.0,112331375000.0,37300664.0,15390022000.0,25881983000.0,10186412000.0
2252.0,33003352000.0,111596870000.0,36712704.0,14764253000.0,25613347000.0,9928521000.0
2253.0,33448815000.0,109897180000.0,37862676.0,14433999000.0,25104855000.0,9745254000.0
2254.0,33416536000.0,118891100000.0,36540970.0,14266792000.0,25127310000.0,9843493000.0
2255.0,33131241000.0,117061840000.0,34407356.0,14059698000.0,24792525000.0,10094479000.0
2256.0,32989608000.0,115355800000.0,33469132.0,14196491000.0,25146808000.0,10285852000.0
2257.0,32948607000.0,114215354000.0,33157090.0,14074685000.0,24961524000.0,10282588000.0
2258.0,32142440000.0,114093695000.0,33037504.0,13794544000.0,24616747000.0,10467211000.0
2259.0,32286337000.0,119220130000.0,33832190.0,13555382000.0,24438882000.0,10542729000.0
2260.0,31890538000.0,119601170000.0,33471730.0,13856760000.0,24896809000.0,10715613000.0
2261.0,31655678000.0,118104930000.0,33312384.0,13979103000.0,24645327000.0,10627990000.0
2262.0,31473826000.0,117986950000.0,33022728.0,14135772000.0,24698374000.0,10544841000.0
2263.0,31597562000.0,116898505000.0,33694444.0,14128630000.0,24426555000.0,10564719000.0
2264.0,31987218000.0,113655400000.0,33411286.0,13863565000.0,24775338000.0,10602631000.0
2265.0,32205066000.0,111742680000.0,32723314.0,13704931000.0,24648980000.0,10414562000.0
2266.0,32303034000.0,111338725000.0,33415662.0,13605638000.0,24725436000.0,10658367000.0
2267.0,32024535000.0,109927110000.0,33021454.0,13597145000.0,25324390000.0,10697390000.0
2268.0,31790600000.0,108093120000.0,32645504.0,13578013000.0,25445028000.0,10493904000.0
2269.0,32062468000.0,107522660000.0,32360830.0,13522051000.0,25231084000.0,10422576000.0
2270.0,32301343000.0,105380720000.0,32313950.0,13418863000.0,25197488000.0,10291621000.0
2271.0,32327731000.0,103325024000.0,32923592.0,13130022000.0,24740170000.0,10359186000.0
2272.0,32535685000.0,101899444000.0,33060020.0,12908332000.0,23999082000.0,10464883000.0
2273.0,32567282000.0,105772570000.0,32627770.0,12808410000.0,23667680000.0,10246795000.0
2274.0,32199490000.0,111345970000.0,32009696.0,12777660000.0,23255220000.0,10395842000.0
2275.0,32794786000.0,109941916000.0,32370096.0,12919686000.0,23405367000.0,10389849000.0
2276.0,32148595000.0,107715660000.0,33070508.0,12974115000.0,22986852000.0,10433748000.0
2277.0,32749916000.0,106384925000.0,32996776.0,13210410000.0,22517959000.0,10496985000.0
2278.0,32474896000.0,106837210000.0,36707460.0,13117517000.0,22476212000.0,10462642000.0
2279.0,32987603000.0,106010075000.0,35692910.0,12938712000.0,22504382000.0,10710255000.0
