time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2082.0,1421813900000.0,1270561000000.0,1919944800000.0,1859126600000.0,1731275700000.0,1670256300000.0,1301469900000.0,989606500000.0,1521411600000.0,1690342800000.0,1525113600000.0,1241240800000.0,1349222000000.0,1147235000000.0,2120343900000.0,1544176700000.0,1985475900000.0
2083.0,1409163900000.0,1261508900000.0,1909185400000.0,1857379000000.0,1717267000000.0,1660749300000.0,1287609900000.0,976532540000.0,1515892000000.0,1689358600000.0,1507984900000.0,1233666600000.0,1334231400000.0,1139569000000.0,2103295200000.0,1531031200000.0,1958019200000.0
2084.0,1404788500000.0,1252367300000.0,1891341000000.0,1846568000000.0,1712213600000.0,1653180100000.0,1272328500000.0,959692730000.0,1495140400000.0,1678479600000.0,1494230200000.0,1223419100000.0,1322953500000.0,1120580900000.0,2100293800000.0,1528872600000.0,1940407700000.0
2085.0,1400672100000.0,1239838800000.0,1864777900000.0,1832448300000.0,1706222600000.0,1636063400000.0,1255470100000.0,947957800000.0,1491617800000.0,1669847700000.0,1492830000000.0,1212100400000.0,1310264100000.0,1105814200000.0,2083548200000.0,1516575900000.0,1937379800000.0
2086.0,1394301500000.0,1230992400000.0,1841100800000.0,1826027500000.0,1703070500000.0,1629519700000.0,1238807100000.0,946337000000.0,1481704300000.0,1661767900000.0,1487397200000.0,1202499200000.0,1298378900000.0,1086394140000.0,2070871000000.0,1515158100000.0,1943977900000.0
2087.0,1389455600000.0,1215813600000.0,1819033100000.0,1821587700000.0,1691783700000.0,1623549000000.0,1223561400000.0,944830550000.0,1466248600000.0,1656031400000.0,1471610400000.0,1191284800000.0,1292862600000.0,1068137600000.0,2051386200000.0,1506639700000.0,1938033600000.0
2088.0,1374846500000.0,1202255700000.0,1802066600000.0,1820447200000.0,1676440800000.0,1609538500000.0,1213021200000.0,929125100000.0,1449022000000.0,1646102800000.0,1461111200000.0,1185158500000.0,1287048300000.0,1048491260000.0,2042163200000.0,1492800900000.0,1929915800000.0
2089.0,1367580900000.0,1180195400000.0,1795106100000.0,1814374900000.0,1663882100000.0,1605268700000.0,1202895000000.0,918742700000.0,1441821600000.0,1640613800000.0,1450627700000.0,1180791200000.0,1282690000000.0,1040076200000.0,2030114200000.0,1481824300000.0,1916477000000.0
2090.0,1372650500000.0,1165170800000.0,1773832000000.0,1813369800000.0,1659463400000.0,1594521600000.0,1192649000000.0,917338300000.0,1433010000000.0,1629165800000.0,1445047300000.0,1178229800000.0,1275804300000.0,1026883500000.0,2018978000000.0,1481039800000.0,1899747700000.0
2091.0,1366130600000.0,1151123700000.0,1756982300000.0,1811772200000.0,1644857300000.0,1583408900000.0,1186846500000.0,907198200000.0,1421470300000.0,1623169300000.0,1433256200000.0,1177236100000.0,1274343800000.0,1006228500000.0,2009551700000.0,1462377400000.0,1901469600000.0
2092.0,1370158100000.0,1139729000000.0,1739279300000.0,1797430800000.0,1635503600000.0,1585567200000.0,1171560900000.0,894317360000.0,1413907500000.0,1613233800000.0,1431302300000.0,1175033100000.0,1271462800000.0,996879200000.0,1998081500000.0,1459386400000.0,1894590400000.0
2093.0,1359524900000.0,1130800000000.0,1718860400000.0,1788766700000.0,1634570300000.0,1580835400000.0,1163453400000.0,887933040000.0,1399819900000.0,1595822800000.0,1426702000000.0,1170199400000.0,1258273400000.0,991597100000.0,1985819300000.0,1454958400000.0,1887274900000.0
2094.0,1358353800000.0,1119570800000.0,1692170300000.0,1788179500000.0,1631373000000.0,1569449200000.0,1150903300000.0,883624840000.0,1391121800000.0,1591925800000.0,1425414000000.0,1161942900000.0,1252635200000.0,981970060000.0,1983474800000.0,1448802000000.0,1867156200000.0
