time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2084.0,1595620600000.0,2236864800000.0,2203216800000.0,2058772800000.0,2358354600000.0,2166496700000.0,1970117700000.0,1658335300000.0,2257483500000.0,1917664400000.0,3024009000000.0,2585300800000.0,2526086700000.0,2483071500000.0
2085.0,1569773200000.0,2216255800000.0,2189274900000.0,2044397000000.0,2355615500000.0,2155506800000.0,1933439000000.0,1622717800000.0,2239132900000.0,1893771000000.0,3019547000000.0,2570495000000.0,2515007400000.0,2475902400000.0
2086.0,1541932400000.0,2198698600000.0,2175645800000.0,2026441700000.0,2350870000000.0,2151453200000.0,1905194700000.0,1592738200000.0,2225413000000.0,1863996700000.0,3018986000000.0,2562328400000.0,2499875400000.0,2462687200000.0
2087.0,1515220800000.0,2184859400000.0,2163595100000.0,2009923300000.0,2331620400000.0,2145021600000.0,1877263300000.0,1553269700000.0,2209771000000.0,1837651000000.0,3013715200000.0,2545308700000.0,2485636000000.0,2451674000000.0
2088.0,1492122300000.0,2167073500000.0,2149210800000.0,1992882500000.0,2321038000000.0,2143598700000.0,1843032100000.0,1519690000000.0,2194338600000.0,1814547700000.0,3008954000000.0,2538635800000.0,2471215200000.0,2438410000000.0
2089.0,1462172400000.0,2150577500000.0,2136026900000.0,1976748500000.0,2314953600000.0,2132029700000.0,1811587100000.0,1491776800000.0,2174231500000.0,1789843500000.0,2999981000000.0,2527363300000.0,2454966000000.0,2422733800000.0
2090.0,1435417000000.0,2138972500000.0,2111139700000.0,1967602800000.0,2308273000000.0,2125171700000.0,1777677400000.0,1453736300000.0,2158100900000.0,1768699300000.0,2995316000000.0,2509748800000.0,2440324200000.0,2403404000000.0
2091.0,1412178100000.0,2120152100000.0,2092643500000.0,1954929700000.0,2289268700000.0,2112273500000.0,1750031500000.0,1409137900000.0,2141031400000.0,1741457600000.0,2985407500000.0,2502988100000.0,2418825000000.0,2385337000000.0
2092.0,1391079000000.0,2102856500000.0,2074621400000.0,1942950100000.0,2279304300000.0,2102597300000.0,1721551800000.0,1364871200000.0,2123653600000.0,1716936100000.0,2981088500000.0,2497349400000.0,2404141500000.0,2378684000000.0
2093.0,1366348800000.0,2077796600000.0,2051804200000.0,1934159100000.0,2269009100000.0,2096242100000.0,1698075100000.0,1329897500000.0,2101977000000.0,1698866100000.0,2974762700000.0,2486597800000.0,2387248400000.0,2363187800000.0
2094.0,1338771500000.0,2055785000000.0,2032982800000.0,1920730400000.0,2252351700000.0,2085538900000.0,1673940000000.0,1286346600000.0,2073329000000.0,1671684600000.0,2967647600000.0,2475072000000.0,2369042800000.0,2345457200000.0
2095.0,1314132100000.0,2034895200000.0,2015271000000.0,1909308300000.0,2240971000000.0,2065210000000.0,1633711600000.0,1240219000000.0,2043358900000.0,1647664200000.0,2964883500000.0,2463365600000.0,2355118500000.0,2335071800000.0
2096.0,1283867100000.0,2016489500000.0,2007247200000.0,1895418700000.0,2226883400000.0,2061848000000.0,1604385600000.0,1200102400000.0,2011228000000.0,1632758800000.0,2960059300000.0,2458005800000.0,2341657400000.0,2321835400000.0
2097.0,1252375000000.0,1995206400000.0,1988741800000.0,1876972700000.0,2213601300000.0,2048786700000.0,1577479400000.0,1162906300000.0,1991954700000.0,1613653700000.0,2948544000000.0,2449130400000.0,2331404100000.0,2308053100000.0
2098.0,1223763000000.0,1978773900000.0,1976400300000.0,1864111100000.0,2204842900000.0,2039858900000.0,1539030500000.0,1128246000000.0,1971740600000.0,1594026400000.0,2946814200000.0,2443202300000.0,2320230500000.0,2305297700000.0
2099.0,1197608800000.0,1957699800000.0,1963170600000.0,1841470900000.0,2196166500000.0,2032211300000.0,1512601700000.0,1087768200000.0,1956995000000.0,1572998500000.0,2943262700000.0,2441622300000.0,2307441300000.0,2293095700000.0
2100.0,1176359900000.0,1939282200000.0,1944151100000.0,1826586800000.0,2182655800000.0,2024780300000.0,1487204300000.0,1050627870000.0,1935796300000.0,1549397800000.0,2935857000000.0,2426164000000.0,2292447200000.0,2287390000000.0
