time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2242.0,421735040000.0,4413481500000.0,1711782400000.0,594477600000.0,579330800000.0,608433140000.0
2243.0,419240900000.0,4432080700000.0,1701846000000.0,590271000000.0,577491760000.0,606262070000.0
2244.0,415587270000.0,4449381000000.0,1693676200000.0,581511540000.0,571711300000.0,604600700000.0
2245.0,412281770000.0,4469064500000.0,1682307000000.0,577042500000.0,569918700000.0,604135950000.0
2246.0,411537300000.0,4485022000000.0,1673342600000.0,574924060000.0,566420500000.0,604143750000.0
2247.0,406929740000.0,4501645000000.0,1665816000000.0,564757270000.0,562691100000.0,600961800000.0
2248.0,402416240000.0,4533420000000.0,1656485000000.0,557680950000.0,558614200000.0,599606560000.0
2249.0,397128140000.0,4554322000000.0,1648526400000.0,551578600000.0,555150930000.0,598584000000.0
2250.0,392440200000.0,4570282000000.0,1642686300000.0,545359950000.0,552339500000.0,598021300000.0
2251.0,392227800000.0,4580103400000.0,1637073400000.0,540811900000.0,547676720000.0,597449400000.0
2252.0,389801200000.0,4609247000000.0,1627263900000.0,531540150000.0,545256570000.0,596547800000.0
2253.0,387909520000.0,4631697600000.0,1617136300000.0,525630180000.0,543272700000.0,596474700000.0
2254.0,386075850000.0,4648625000000.0,1606768700000.0,517719900000.0,537819840000.0,595142440000.0
2255.0,383258560000.0,4663831000000.0,1603360700000.0,509228060000.0,534057580000.0,595727550000.0
2256.0,377716640000.0,4679422000000.0,1591302300000.0,502220820000.0,529068750000.0,593731200000.0
2257.0,372850100000.0,4702407000000.0,1584083500000.0,496614000000.0,524693830000.0,591388100000.0
2258.0,371574080000.0,4715040500000.0,1573920700000.0,491548480000.0,523841180000.0,593419500000.0
2259.0,368643240000.0,4721788600000.0,1564523100000.0,485229070000.0,519855080000.0,591148150000.0
2260.0,367463100000.0,4735021600000.0,1547840100000.0,478732580000.0,516839960000.0,588381950000.0
2261.0,363988650000.0,4738354000000.0,1536488900000.0,472480300000.0,515325820000.0,590250970000.0
