time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2171.0,2348085000000.0,2739653000000.0,2789642900000.0,2551280800000.0,1833561000000.0,1754868700000.0
2172.0,2339124800000.0,2726115100000.0,2793880400000.0,2550939300000.0,1834221000000.0,1742727500000.0
2173.0,2337202500000.0,2725069700000.0,2793482000000.0,2549811800000.0,1830140000000.0,1730261800000.0
2174.0,2335021500000.0,2711045500000.0,2800163700000.0,2545518600000.0,1827055200000.0,1721362800000.0
2175.0,2329176000000.0,2708215400000.0,2793162000000.0,2544689200000.0,1812382000000.0,1709423200000.0
2176.0,2342711200000.0,2687486000000.0,2799852800000.0,2537195600000.0,1804151600000.0,1684885100000.0
2177.0,2344221400000.0,2664889600000.0,2787034800000.0,2543255300000.0,1803560800000.0,1682356700000.0
2178.0,2343593300000.0,2643384900000.0,2785569100000.0,2552219600000.0,1810335000000.0,1672717700000.0
2179.0,2337041300000.0,2626988300000.0,2775796200000.0,2563946300000.0,1808500700000.0,1658738800000.0
2180.0,2337514200000.0,2617876400000.0,2765718600000.0,2557988800000.0,1807744500000.0,1662811600000.0
2181.0,2332330800000.0,2619854800000.0,2768822600000.0,2564551900000.0,1810589200000.0,1665408800000.0
2182.0,2332270300000.0,2610869600000.0,2767047000000.0,2575879000000.0,1810369600000.0,1656830400000.0
2183.0,2328310600000.0,2604200400000.0,2771648000000.0,2579601300000.0,1807237800000.0,1658020400000.0
2184.0,2337303400000.0,2607601200000.0,2757097400000.0,2582736500000.0,1812905000000.0,1652315800000.0
2185.0,2334908700000.0,2594625300000.0,2758926400000.0,2588189400000.0,1812415100000.0,1650622700000.0
2186.0,2328847500000.0,2581753000000.0,2746577600000.0,2585847700000.0,1807635200000.0,1643074000000.0
2187.0,2336105000000.0,2569413000000.0,2739868300000.0,2581059000000.0,1804476000000.0,1641662800000.0
2188.0,2330408300000.0,2547654900000.0,2758777200000.0,2595109000000.0,1812237100000.0,1644588800000.0
2189.0,2321973000000.0,2534052700000.0,2763556400000.0,2599083000000.0,1806701400000.0,1639926200000.0
2190.0,2323940400000.0,2542825400000.0,2763887700000.0,2596848000000.0,1805832200000.0,1624929500000.0
2191.0,2329098800000.0,2539519000000.0,2768353400000.0,2593433300000.0,1808375500000.0,1595434200000.0
2192.0,2331064100000.0,2528023200000.0,2783143300000.0,2589571000000.0,1812884900000.0,1596844000000.0
2193.0,2335684200000.0,2525353500000.0,2788310000000.0,2582272500000.0,1800472400000.0,1595681900000.0
2194.0,2328037000000.0,2528833400000.0,2778118800000.0,2579521300000.0,1795310200000.0,1600994000000.0
2195.0,2331972500000.0,2518709700000.0,2771035000000.0,2565052300000.0,1791127200000.0,1590381400000.0
2196.0,2337050000000.0,2511135800000.0,2768648000000.0,2554767300000.0,1780389600000.0,1575569200000.0
